id,page_or_template,category,finding,evidence,impact,fix,severity,effort,owner,verification
F11,service leaf,content,Service pages share verbatim boilerplate across unrelated practice areas,"Project Finance and Business Strategy carry the same sentence about building ""robust, transparent financial models"". Startups - Growth Capital and Financing Entrepreneurial Ventures share one description. The IPO page's description is about debt-to-equity restructuring.","Three template-rewrite hits in a sample of roughly fifteen pages. Prospects reading two service pages see the same paragraph twice, and the IPO page - a high-intent page - describes the wrong service.",Rewrite each retained service page against a distinct brief. Establish the true extent by content-hashing once the crawl is unblocked.,P2,L,Marketing,VERIFIED (3 instances) - full extent unmeasured
F12,global template,technical,The entire site is served on two hostnames with no redirect and no canonical tag,"Live check: https://www.adancorporate.com/en-uk/home/index.html returns 200 with 0 redirects; https://adancorporate.com/en-uk/home/index.html returns 200 with 0 redirects. Both hosts serve byte-identical content (md5 9e7fc7884de2b18cee3e3a6a4ffd1088 on /en-uk/m-and-a/deal-strategy.html). Zero <link rel=""canonical""> tags across all 400 pages of the first crawl, and none on either host for four sampled pages. HTTP does 301 to HTTPS, so redirect capability exists at the host.","Every page on the site exists twice to a search engine with no signal as to which is authoritative. Ranking signals split across two hosts, and the duplicate set doubles with the 190+ service pages. It also splits cookie-consent scope between hosts, compounding F27, and means any redirect map must be applied twice or preceded by host consolidation.","Pick apex or www as canonical. 301 the other host-wide at the server. Add self-referencing canonical tags to every page. Do this BEFORE applying the consolidation redirect map, so 184 redirects are written once rather than twice.",P1,S,Dev + Host,"VERIFIED (live, both hosts, 4 sampled pages + 400-page crawl)"
F13,global template,technical,Bot gate served a 200 interstitial to every non-allowlisted agent,"On 15 Sep 2026 curl, WebFetch and an automated Chrome all received the ""One moment, please..."" holding page at every URL, including static assets. Gate was observed down on 16 Sep 2026.","While active, link-preview crawlers (LinkedIn, Slack, WhatsApp) would have received the holding page, so shared links render with the wrong title. May be re-enabled.","If the gate is re-enabled, allowlist link-preview user agents and confirm by pasting a URL into LinkedIn and Slack.",P2,S,Dev + Host,VERIFIED 15 Sep - gate not active 16 Sep
F14,service hub,ia,Hub pages are filed as siblings of leaf pages,Index - Interim Management and Index - NED & Board Advisory sit inside /en-uk/strategy/; Index - Alliances JVs & Partnerships inside /en-uk/m-and-a/.,"Navigation depth and hierarchy do not match URL structure, so breadcrumbs and crawl paths misrepresent the site.",Move hubs to section roots and 301 the index- URLs.,P3,M,Dev,VERIFIED
F15,team index,seo,/en-uk/about-us/team.html uses the generic homepage title tag,Indexed title is the homepage title rather than a page-specific one.,A high-intent credibility page is unfindable by name in search.,Write a page-specific title and meta description.,P3,S,Marketing,VERIFIED
F16,service leaf,content,"COVID-19 section is still published, with two pages",/en-uk/covid-19/covid-19-cash-flow-management.html and covid-19-business-impact-analysis.html. covid appears 28 times in the homepage source alone.,"Dated in 2026, and duplicative of live corporate finance service lines.",301 both into the corporate finance pages covering the same ground.,P2,S,Marketing,VERIFIED
F17,service leaf,ia,Startups content is duplicated across two different sections,startups-growth-capital.html exists under BOTH /en-uk/startups/ and /en-uk/corporate-finance/ in the site nav. Five training-course pages sit alongside two financing pages sharing one description.,"The same service published at two URLs in two sections, and a training catalogue presented as an advisory line.",Pick one home for growth capital. Collapse the five courses into one Programmes page.,P2,M,Marketing,VERIFIED
F18,home,conversion,Hero headline does not say what the firm does or who it is for,"Above the fold reads only ""THE WORLD IS CHANGING. EMBRACE THE SPEED OF CHANGE."" No mention of corporate finance, M&A, advisory or any audience.",The first viewport of the most-visited page could belong to a logistics company or a software vendor. Highest-leverage fix on the site.,Replace with a proposition line naming the service and the audience.,P1,S,Partners + Marketing,VERIFIED (screenshot + source)
F19,home,ux,"Primary nav renders at 11.2px, overlaid on autoplaying video","Playwright at 1440x900: nav links computed font-size 11.2px, colour rgb(34,34,34). The nav row sits over the hero video rather than on the white bar, and ""Corporate Finance"" wraps to a second line breaking the row.",Nine top-level items at 11.2px over moving video. Legible in a static screenshot only intermittently. Earlier report that no nav existed was wrong - it exists but reads as absent.,"Solid header background, nav at 14px minimum, prevent wrap.",P1,M,Dev + Marketing,"VERIFIED (Playwright) - REVISED, earlier ""no nav"" was incorrect"
F20,home,a11y,Hero scrim exists but is under-specified; hero text falls just below the WCAG large-text threshold,"Measured via Playwright. A scrim IS present: .bg-overlay at rgba(17,17,17,0.4) full-viewport, plus a second at rgba(17,17,17,0.5). Hero text is rgb(236,236,236) at 17px weight 700 - below the 18.66px large-text threshold, so it needs 4.5:1, not 3:1. Over a worst-case mid-luminance video frame that requires a black scrim of alpha 0.71; the current scrim is 0.40. At 3:1 (if the text were large) 0.51 would suffice.","The hero can fail 1.4.3 on bright video frames. axe returns color-contrast: incomplete rather than a violation because it cannot sample a moving background, so this never appears in an automated report.","Either raise the scrim to rgba(17,17,17,0.72) as a token, or take the hero text to >=18.66px at 700 (or >=24px) so 3:1 applies and 0.52 suffices. Preferably both. | CLOSED BY D02: media hero retired, defect no longer possible.",P1,S,Dev,"VERIFIED (measured) - REVISED, earlier ""no scrim"" was incorrect | CLOSED 16 Sep 2026"
F21,home,content,Hero imagery has no connection to the proposition,Full-bleed shopping-mall atrium with a white saloon car parked on the concourse.,"Nothing signals corporate finance, M&A or advisory. For a firm selling judgement the lead image reads as arbitrary stock.",Replace with imagery tied to the work.,P2,M,Marketing,VERIFIED (screenshot)
F22,global template,ux,Consumer social share rail pinned to the right edge of every page,"Six stacked red icons - email, LinkedIn, Twitter, Facebook, WhatsApp, print - fixed to the right viewport edge. Footer repeats Share on Linkedin / Twitter / Facebook / WhatsApp.","Consumer-web patterns on a B2B advisory site, occupying persistent prime real estate. Dates the site to roughly 2013.","Remove. Retain LinkedIn and email only, in-page on articles.",P2,S,Dev,VERIFIED (screenshot + source)
F23,home,conversion,Primary CTA uses the weakest available verb and an ambiguous inline mark,"""READ MORE ABOUT HOW ADAN CORPORATE () CAN ASSIST"" in small wide-tracked caps. The parenthetical renders empty in the text layer.","""Read more"" commits the visitor to nothing and names no outcome. The empty parenthetical is a rendering bug in the link text.",One specific action tied to intent. Remove the inline mark. Check tap target meets 24x24 CSS px.,P2,S,Marketing,VERIFIED (source: link text contains empty parentheses)
F24,home,performance,Hero uses an autoplaying YouTube background video,jquery.mb.YTPlayer.min.js loaded; iframe.playerBox present. At a 375px viewport the iframe computes to 1543px wide.,Background video is a common cause of poor LCP and heavy mobile data use.,"Measure LCP first. If retained, poster-image first paint, pause under reduced-motion, do not load on small screens. | CLOSED BY D02: media hero retired, defect no longer possible.",P2,M,Dev,VERIFIED (Playwright) | CLOSED 16 Sep 2026
F25,global template,ia,Every page in the site is exposed at crawl depth 1 through the nav,"Complete 569-page crawl, queue exhausted. Apex-host unique paths by minimum depth: 1 at depth 0, 185 at depth 1, 74 at depth 2, 1 at depth 3. Zero apex pages at depth 4 or beyond. All 86 rows recorded at depth 4-5 are on www.adancorporate.com, reached via a cross-host link, so they are an artefact of the host duplication in F12, not genuine depth.","The mega-menu exposes the entire site at one level with no grouping, which is why the service sprawl is invisible to a visitor until they are inside it.",Group the nav to the proposed five sections so depth reflects hierarchy.,P2,M,Dev + Marketing,VERIFIED (complete crawl)
F26,home,a11y,"The three AI-generated profile images carry the alt text ""profile image""","All three i.ibb.co images use alt=""profile image"". 3 of 43 images on the homepage have generic alt text; none are missing alt entirely.","A screen-reader user is told ""profile image"" rather than whose profile it is. WCAG 2.2 AA 1.1.1.","Alt text naming the person, once real headshots replace these.",P2,S,Dev,VERIFIED (source)
F27,global template,regulatory,"Cookie banner never displays, while seven tracking cookies are set on page load","Playwright: div.grt-cookie has computed display:none, so the banner never renders. No consent cookie exists. Cookies present immediately on load: _ga, _gid, _gat_gtag_UA_123140427_1, _ga_GJX4EMELKX, _tccl_visitor, _tccl_visit, _scc_session.","This is worse than the implied-consent wording. No consent mechanism operates at all, and non-essential analytics and tracking cookies are set before any interaction. A clear UK GDPR / PECR breach and a direct ICO exposure for a UK-registered firm.","Block all non-essential tags until opt-in. Replace with a working prior-consent banner: reject as easy as accept, granular categories, consent logged.",P1,M,Legal + Dev,VERIFIED (Playwright)
F28,global template,technical,"jQuery loads after the scripts that depend on it, throwing three ReferenceErrors","Console: ""ReferenceError: jQuery is not defined"" at cookie-consent.js:55; ""ReferenceError: $ is not defined"" at social-media-sharing.js:15 and at index.html:3130.",Root cause of F27 - the consent script dies before it can show the banner. Also breaks the share links. Any future script depending on jQuery will fail the same way.,"Load jQuery before dependent scripts, or defer dependents. One ordering change fixes the consent banner and the share rail together.",P1,S,Dev,VERIFIED (console)
F29,global template,a11y,46 links have no discernible text,"axe-core 4.10.2, rule link-name, impact serious, 46 nodes. Example: <a href=""mailto:ajay.mavinkurve@adancorporate.com""><i class=""fa fa-envelope""></i></a>.",Icon-only email and LinkedIn links on every team card announce nothing to a screen reader. WCAG 2.2 AA 2.4.4 and 4.1.2.,Add aria-label or visually-hidden text to every icon-only link.,P1,S,Dev,VERIFIED (axe-core)
F30,global template,a11y,23 lists contain elements other than list items,"axe-core rule list, impact serious, 23 nodes, e.g. <ul class=""social-links"">.",Screen readers mis-announce list length and structure. WCAG 2.2 AA 1.3.1.,Wrap direct children in <li>.,P2,S,Dev,VERIFIED (axe-core)
F31,global template,a11y,Chat launcher button has no accessible name,"axe-core rule button-name, impact critical, 1 node: the ArtiBot launcher button.",Keyboard and screen-reader users cannot identify the control. WCAG 2.2 AA 4.1.2.,"Add an accessible name, or remove the widget.",P2,S,Dev,VERIFIED (axe-core)
F32,home,a11y,Page scrolls horizontally at 375px,"Playwright at 375x812: documentElement.scrollWidth 380 vs clientWidth 375. Offenders: div.row.count-wrapper and four div.col-md-3.count-item, each computing to 385px. The YouTube iframe computes to 1543px wide.",The stat block - the element carrying the countries and deal-value claims - forces sideways scrolling on a phone. WCAG 2.2 AA 1.4.10 Reflow.,"Correct the grid at small widths; constrain the video iframe or drop it below 768px. | CLOSED BY D02: media hero retired, defect no longer possible.",P1,M,Dev,VERIFIED (Playwright) | CLOSED 16 Sep 2026
F33,global template,a11y,82 tap targets are smaller than 24x24 CSS pixels at 375px,"Playwright at 375x812: 82 interactive elements under the minimum. Samples 29x19, 26x19, and ""Full Profile"" at 134x19.",WCAG 2.2 AA 2.5.8 Target Size (Minimum). Affects every team-card icon link and every Full Profile link on a phone.,Minimum 24x24 with adequate spacing; 44x44 preferred for primary actions.,P1,M,Dev,VERIFIED (Playwright)
F34,global template,a11y,"306 text elements render below 12px, the smallest at 8.96px","Playwright at 375px: 306 leaf elements with computed font-size under 12px. Nav items at 11.2px; ""Index of"" at 8.96px. Matches the stylesheet audit, which found no type scale at all.","Effectively unreadable text across navigation and service indexes, on the breakpoint where most referral traffic lands.",Establish a type scale with a 14px floor. This is the single change DESIGN.md most needs to fix.,P1,M,Dev + Design,VERIFIED (Playwright)
F35,home,technical,The background video player renders its timecode in the top-left corner of the homepage,"Playwright: <span class=""mb_YTPTime"">02 : 29 / 04 : 18</span> at viewport position (17, 3), above the logo. Visible in the 1440px screenshot as stray characters.","A visible rendering defect in the first thing a visitor sees, on the firm's most-visited page.","Hide the mb_YTPTime element, or disable the player's time display. | CLOSED BY D02: media hero retired, defect no longer possible.",P2,S,Dev,VERIFIED (Playwright + screenshot) | CLOSED 16 Sep 2026
F36,global template,a11y,No prefers-reduced-motion support anywhere in the stylesheets,Playwright: no CSS rule matching prefers-reduced-motion in any loaded stylesheet. The page runs an autoplaying video plus WOW.js scroll animations and parallax.,Users with vestibular conditions get no relief from continuous motion. WCAG 2.2 AA 2.3.3 and 2.2.2.,Add a prefers-reduced-motion block that pauses the video and disables scroll animation.,P2,S,Dev,VERIFIED (Playwright)
F37,global template,technical,Universal Analytics is still loading alongside GA4,"Playwright: gtag/js?id=UA-123140427-1 and google-analytics.com/analytics.js both requested, plus GA4 G-GJX4EMELKX.","Universal Analytics stopped processing data in July 2023. Dead requests on every page load, and it sets the _gat_gtag_UA_ cookie that contributes to the consent breach in F27.",Remove the UA property and analytics.js entirely.,P2,S,Dev,VERIFIED (Playwright)
F38,global template,security,"Two jQuery versions load on every page, the older with known XSS advisories",Playwright: jquery-3.4.1.min.js and jquery-2.1.4.min.js both requested. 34 script files total.,jQuery below 3.5.0 carries published XSS advisories (CVE-2020-11022 / 11023). Loading two copies also causes the ordering failure in F28.,"Consolidate to one current jQuery, or remove it. Audit the 34 scripts while doing so.",P2,M,Dev,VERIFIED (Playwright)
F39,global template,technical,404 on a malformed asset path with a doubled directory segment,"Console: 404 for https://adancorporate.com/assets/assets/images/shattered.gif - note ""assets/assets"".",Broken asset request on every page load. Indicates a path-construction bug likely affecting other assets.,Correct the base path in the referencing stylesheet or script.,P3,S,Dev,VERIFIED (console)
F40,home,ux,The social share rail overlaps the hero call to action at 375px,"375px screenshot: the six-icon red rail is pinned to the right edge and sits over the CTA panel, truncating ""READ MORE ABOUT HOW ADAN CORPORATE ( A ) CAN ASSIST"", which already breaks across three lines with the logo mark stranded on its own line.",The only call to action above the fold on mobile is partially covered by a share widget. Compounds F22 and F23.,Remove the fixed rail. Rebuild the CTA as a single-line button.,P1,S,Dev + Marketing,VERIFIED (screenshot)
F41,all templates,a11y,No page carries an H1,"Playwright at 375px across five templates: service leaf, team index, team member, contact and legal all return document.querySelectorAll(""h1"").length === 0.","No document outline on any page. Screen-reader users get no heading to orient by, and search engines have no primary heading signal. WCAG 2.2 AA 1.3.1, and an SEO cost across 190 service pages. Note: contrast itself is NOT the problem - 16 unique foreground/background pairs on the team template were measured and ZERO fail AA. rgb(34,34,34) on white is 15.91:1. The defect is size, not colour.",One H1 per page carrying the page subject.,P1,M,Dev + Marketing,"VERIFIED (Playwright, 5 templates)"
F42,contact,conversion,The contact page contains no enquiry form,"Playwright: zero input, textarea or select elements on /en-uk/about-us/contact-us.html.",The single page a ready-to-buy prospect lands on offers no way to make contact other than reading an address. For a firm whose sales cycle starts with a conversation this is the most expensive gap on the site.,"Add a short enquiry form, three or four fields, with a named owner for responses.",P1,M,Marketing + Dev,VERIFIED (Playwright)
F43,legal,regulatory,Privacy policy is dated 17 October 2019 and predates UK GDPR,"Page text: ""LAST UPDATED: 17 OCT 2019"". 3,611 words. Mentions GDPR but not UK GDPR; no reference to the ICO; no right to erasure.","UK GDPR took effect 1 January 2021. A UK-registered firm is publishing a pre-Brexit policy that does not name the current regime, the supervisory authority, or a core data subject right. Compounds F27.","Legal review and rewrite against UK GDPR, with ICO details and the full rights list.",P1,M,Legal,VERIFIED (Playwright)
F44,service leaf,content,28 of 29 sector pages are byte-identical,"Crawl content_hash: 28 /en-uk/industries/ pages share one hash, each 627 raw words, about 110 words of content after subtracting site chrome.","Twenty-eight URLs indexable as separate sector expertise pages, all the same document with a different title. Reads as keyword padding.",One Sector Coverage page listing the sectors. 301 all 28.,P2,S,Marketing,VERIFIED (crawl)
F45,service leaf,content,Risk pages and interim-management pages share identical content,"Crawl content_hash: cloud-risk, risk-management-for-pe-funds, risk-management-for-smes and the seven interim-* pages (CEO, CFO, CMO, COO, CRO, CTO, Sales Head) all share one hash.","A page selling cloud risk advisory and a page selling an interim CFO are the same document. Ten pages, two unrelated practices, one piece of copy.","Consolidate to Operational & Enterprise Risk and Interim Management, each written once.",P2,M,Marketing,VERIFIED (crawl)
F46,global template,ia,29 sector pages are not exposed in the navigation at all,Link-graph analysis: 33 service pages have zero nav-zone inbound edges. 29 are the /industries/ pages.,A whole section reachable only from body links. Effectively orphaned from the site the visitor can see.,"Resolved by F44 - one Sector Coverage page, properly linked.",P2,S,Dev,VERIFIED (crawl link graph)
F47,global template,seo,No page on the site carries a canonical tag,"crawl inventory, canonical column: 0 of 400 rows have a canonical tag; canonical_self is ""no"" for all 400. Confirmed live on 8 host/path combinations.","Beyond the www duplication in F12, there is no canonical signal anywhere, so parameterised, index- and .html-less URL variants all compete. /en-uk/m-and-a/deal-strategy and deal-strategy.html were both crawled as separate 200s with identical content.","Self-referencing canonical on every page, emitted by the template.",P1,S,Dev,VERIFIED (crawl + live)
F48,team / coaching,technical,"18 email addresses are linked without a mailto: prefix, producing 404s","Complete crawl: 18 URLs such as /en-uk/coaching/raju.v@adancorporate.com, /en-uk/coaching/ck.adya@adancorporate.com and /en-uk/coaching/Mike.Kemball@adancorporate.com return 404. The href is a bare address, so the browser resolves it as a relative path.","Clicking a partner's email address on these pages loads a 404 page instead of opening a mail client. On coaching and team pages these are the primary contact route, and F42 already established the contact page has no form. Between them there is no working way to make contact from several pages.",Prefix every address with mailto:. 18 occurrences.,P1,S,Dev,"VERIFIED (complete crawl, 569 pages)"
F49,digital,content,The Digital practice has no evidence of delivered work anywhere on the site,"Searched the clients page (36 case studies), the live deals page and the Insights blog for blockchain, IoT, RPA, AI, analytics, machine learning, data science, big data, digital transformation and automation. ZERO mentions of any as delivered work. The live-deals deal-type filter offers 18 types (Equity/Debt Raise, IPO, Merger, Acquisition, Sale, JV, Fund Placement, Distressed, Turnaround, MBO/MBI, Credit Ratings and similar) - none is digital. ""Technology"" appears 12 times on the clients page but always as Sector(s): Technology, the client's industry, never as expertise delivered. Every Expertise tag across all 36 engagements is corporate finance or M&A. All 7 digital pages carry 0 proof phrases (no case study, no named client, no ""we delivered"") and only aspirational phrasing; three are thin - products-and-solutions 317 words, visyond 564, IoT 577.","Seven service pages describe a practice with no demonstrable track record, on a site whose own non-negotiable is that no capability claim ships without a confirmed source. For a firm selling diligence, an unevidenced AI and blockchain practice is the kind of claim a prospect can disprove in one click by reading the clients page. It also sits oddly against the AI-generated headshots: two separate signals of technology capability being asserted rather than demonstrated.",Partner decision. Either evidence it - name engagements and add them to the clients page - or retire the section and fold any live capability into an existing practice. Do not promote it to a sixth top-level nav section on the current evidence.,P1,S,Partners,VERIFIED (clients + live deals + insights + all 7 digital pages)
D01,digital,decision,"Digital & Technology promoted to a sixth top-level section, then reversed. Practice dissolved.","Decision trail. 16 Sep: the five-section IA had no home for the 7 /digital/ pages, and the generator was folding the whole practice into Risk Reporting & Analytics. Raised as a structural gap. Partner first overrode the max-5 cap to give Digital its own section. Evidence gathered under F49 then showed the practice has no delivered work anywhere on the site: 0 mentions across 36 client case studies, the live-deals page and the Insights blog; none of the 18 deal types in the firm's own live-deals filter is digital; all 7 pages carry 0 proof phrases. Partner reversed the decision on that evidence.","Reversal keeps the site to five top-level sections and removes seven unevidenced capability claims, which was the exposure against the project rule that no track-record claim ships without a confirmed source. Risk & Governance rises to 9 items, a second deliberate breach of the six-item cap, accepted knowingly.","APPLIED in redirect-map.csv. (1) artificial-intelligence, analytics and robotic-process-automation-rpa merge into /en-uk/risk/ai-and-automation-in-risk-and-diligence.html, framed as method rather than track record. (2) blockchain-advisory, internet-of-things-iot and products-and-solutions return 410 Gone, same treatment as the 29 /industries/ doorway pages. (3) visyond moves to /en-uk/about-us/partners-and-alliances.html as a third-party product listing, not an Adan service. (4) Strategy & Board returns to 5 items.",P2,S,Partners,DECISION LOGGED - applied 16 Sep 2026
F50,team member,content,"Team photos are stretched, not cropped","Playwright: team images computed at 320x320 and 320x304 with object-fit: fill. Frames are square, border-radius 0, no border or shadow.",object-fit: fill distorts any source image that is not exactly the frame ratio. Headshots of real partners are being visibly stretched.,object-fit: cover with a fixed square ratio token.,P2,S,Dev,VERIFIED (measured)
D02,home,decision,"Media hero retired. Homepage hero becomes typographic, carrying the proposition and the deal record.","Direction A chosen 16 Sep 2026 with navy given structural weight and Direction C hairline restraint. Measured basis: hero text rendered at rgb(236,236,236) 17px weight 700, just below the 18.66px WCAG large-text threshold, so it required 4.5:1 rather than 3:1. Over a worst-case mid-luminance video frame that needs a black scrim of alpha 0.71; the live scrim measured 0.40. axe returned color-contrast: incomplete rather than a violation because it cannot sample a moving background, so the defect was invisible to automated testing.","Four measured findings become impossible rather than fixed: F20 scrim, F24 background video, F32 mobile iframe overflow, F35 visible player timecode. No scrim token is required. Reduced-motion has no video to exempt. The 1543px iframe at 375px viewport cannot recur.","APPLIED in DESIGN.md section 9. No --scrim token is in use. If a media hero is ever reinstated the scrim returns as --scrim-strong rgba(17,17,17,0.72) with its measured ratio, and hero text must sit at or above 18.66px/700 so the 3:1 threshold applies.",P1,M,Partners + Dev,DECISION LOGGED - DESIGN.md committed 16 Sep 2026
F51,brand asset,content,The official logo exists only as a 291x36 raster. There is no vector.,"Probed the live asset directory: /assets/images/logo.webp is 291x36 RGB, logo.png is 291x36 RGBA with alpha fully opaque (255,255) so the white background is baked in. No logo.svg, no @2x, no larger variant - all returned 404. Measured in the new build: at 186 CSS px on a 2x screen the browser needs 372 device pixels and the source has 291, giving an effective resolution of 0.38x. Capping display width to 140px (280 device px at 2x) restores sharpness, verified naturalWidth 291 >= 280.","The mark cannot render sharply above roughly 145 CSS px on any retina screen, which is most laptops and every phone. It is therefore held smaller than the design would otherwise place it, and reads as undersized against 16px navigation. The baked white background also means it cannot be placed on the navy surface or the ink footer.","Obtain the logo as SVG from whoever holds the brand files, plus a transparent-background variant and a reversed (light-on-dark) variant. An SVG removes the size ceiling entirely and allows the mark on navy and ink surfaces.",P2,S,Partners + Marketing,VERIFIED (asset probe + rendered measurement)
F52,home,a11y,"The round logo on the live site carries alt=""iPad cover""","Live homepage source: <img src=""../../assets/images/adan-company-round-logo-360x600.webp"" alt=""iPad cover"">.","A screen reader announces the company badge as ""iPad cover"". Left over from a template. WCAG 2.2 AA 1.1.1.",Correct or remove. Not carried into the new build.,P3,S,Dev,VERIFIED (live source)
F53,/en-uk/about-us/global-locations.html,Accuracy,"A third, higher country count: the Global Locations hero claims ""22 cities in 20 countries"" while the page's own office list contains 14 offices in 13 countries","global-locations.html hero text ""22 cities in 20 countries""; the same page lists UK, Switzerland, Netherlands, Czech Republic, Italy, France, India, UAE (Dubai + Abu Dhabi), Singapore, Kazakhstan, Azerbaijan, South Africa, Cote d'Ivoire = 13 countries, 14 offices. Home stat says 15; ""Location Agnostic"" says 19. Extends F03.",Four different counts across the site; the largest is 54% above what the firm can evidence from its own list,"Publish the countable figure (14 offices, 13 countries, 3 continents) and derive it from the office list so it cannot drift. Applied on the rebuilt home and contact pages.",P1,S,Partners,COUNTRY_COUNT in app/lib/content.ts is computed from OFFICES; no hard-coded country figure remains
F54,"rebuild: homepage, team",Accuracy,"The rebuild carried a partner who does not exist on the live site (""Priya Shah""), against the no-invented-profiles rule",PARTNERS in app/lib/content.ts listed Priya Shah with a generated route at /en-uk/team/priya-shah; the live team section lists 31 named people and no Priya Shah,A fabricated named individual in a firm that sells accountability by name,"Roster replaced wholesale with the 31 people the firm publishes, each with their published role, focus, city, email, LinkedIn, biography and headshot",P1,M,Build,Every slug in PARTNERS maps to a name present in assets-from-live/home.html; grep for priya returns nothing
F55,/en-uk/home/index.html,Accuracy,"Preethi Hari's team card carries Suresh Nambiar's role, email address and LinkedIn profile","Live markup: name 'Preethi Hari' followed by role 'Procurement & Logistics', city 'Manama City, Bahrain', mailto:suresh.nambiar@adancorporate.com and linkedin.com/in/suresh-nambiar-047a0918",Enquiries intended for one partner are addressed to another; both profiles misrepresented,Corrected in the rebuild to Risk Management / London. Preethi's own email and LinkedIn need supplying.,P1,S,Partners,"content.ts entry preethi-hari carries focus ""Risk Management"", city ""London"", no linkedin field"
